!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 10 --gd-opt muon | tee -a mnist_fold_10_muon.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 12.15% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 1.6584 | es-mean 1.9707 | val 30.78% | ternary-only 30.78% | gd 1.5442 | es-evals 0.1M | 34s
step   100 | es-min 1.2946 | es-mean 1.7018 | val 53.07% | ternary-only 53.07% | gd 1.2189 | es-evals 0.1M | 63s
step   150 | es-min 1.0189 | es-mean 1.5650 | val 47.63% | ternary-only 47.63% | gd 0.9391 | es-evals 0.2M | 93s
step   200 | es-min 0.7025 | es-mean 1.0856 | val 73.10% | ternary-only 73.10% | gd 0.6044 | es-evals 0.2M | 123s
step   250 | es-min 0.8015 | es-mean 1.2220 | val 75.78% | ternary-only 75.78% | gd 0.7813 | es-evals 0.3M | 153s
step   300 | es-min 0.6703 | es-mean 1.1122 | val 66.17% | ternary-only 66.17% | gd 0.6217 | es-evals 0.3M | 183s
step   350 | es-min 0.7796 | es-mean 1.1489 | val 73.46% | ternary-only 73.46% | gd 0.6764 | es-evals 0.4M | 213s
step   400 | es-min 0.8487 | es-mean 1.1305 | val 73.93% | ternary-only 73.93% | gd 0.7948 | es-evals 0.4M | 243s
step   450 | es-min 0.5767 | es-mean 0.8980 | val 80.23% | ternary-only 80.23% | gd 0.5725 | es-evals 0.5M | 272s
step   500 | es-min 0.3514 | es-mean 0.6477 | val 82.17% | ternary-only 82.17% | gd 0.4012 | es-evals 0.5M | 302s
step   550 | es-min 0.5159 | es-mean 0.8530 | val 77.35% | ternary-only 77.35% | gd 0.4729 | es-evals 0.6M | 332s
step   600 | es-min 0.4177 | es-mean 0.6793 | val 79.29% | ternary-only 79.29% | gd 0.4428 | es-evals 0.6M | 362s
step   650 | es-min 0.3196 | es-mean 0.6390 | val 81.08% | ternary-only 81.08% | gd 0.2525 | es-evals 0.7M | 392s
step   700 | es-min 0.2636 | es-mean 0.4685 | val 81.40% | ternary-only 81.40% | gd 0.2374 | es-evals 0.7M | 422s
step   750 | es-min 0.4728 | es-mean 0.7275 | val 84.14% | ternary-only 84.14% | gd 0.4539 | es-evals 0.8M | 452s
step   800 | es-min 0.4941 | es-mean 0.7542 | val 82.58% | ternary-only 82.58% | gd 0.5732 | es-evals 0.8M | 481s
step   850 | es-min 0.5604 | es-mean 0.8774 | val 82.57% | ternary-only 82.57% | gd 0.4997 | es-evals 0.9M | 512s
step   900 | es-min 0.6505 | es-mean 1.0747 | val 80.64% | ternary-only 80.64% | gd 0.6202 | es-evals 0.9M | 541s
step   950 | es-min 0.6144 | es-mean 0.9540 | val 80.02% | ternary-only 80.02% | gd 0.5133 | es-evals 1.0M | 572s
step  1000 | es-min 0.5861 | es-mean 0.9665 | val 80.12% | ternary-only 80.12% | gd 0.4539 | es-evals 1.0M | 601s
step  1050 | es-min 0.6120 | es-mean 0.8200 | val 81.07% | ternary-only 81.07% | gd 0.6663 | es-evals 1.1M | 632s
step  1100 | es-min 0.5489 | es-mean 0.9725 | val 77.98% | ternary-only 77.98% | gd 0.4070 | es-evals 1.1M | 661s
step  1150 | es-min 0.4130 | es-mean 0.6858 | val 76.69% | ternary-only 76.69% | gd 0.3708 | es-evals 1.2M | 691s
step  1200 | es-min 0.3094 | es-mean 0.5093 | val 80.36% | ternary-only 80.36% | gd 0.3815 | es-evals 1.2M | 722s
step  1250 | es-min 0.4712 | es-mean 0.7002 | val 81.02% | ternary-only 81.02% | gd 0.4941 | es-evals 1.3M | 751s
step  1300 | es-min 0.4097 | es-mean 0.7104 | val 80.95% | ternary-only 80.95% | gd 0.4933 | es-evals 1.3M | 782s
step  1350 | es-min 0.3001 | es-mean 0.5282 | val 79.29% | ternary-only 79.29% | gd 0.2702 | es-evals 1.4M | 811s
step  1400 | es-min 0.2782 | es-mean 0.5817 | val 81.60% | ternary-only 81.60% | gd 0.4134 | es-evals 1.4M | 842s
step  1450 | es-min 0.4960 | es-mean 0.8259 | val 82.16% | ternary-only 82.16% | gd 0.3900 | es-evals 1.5M | 872s
step  1500 | es-min 0.4036 | es-mean 0.6447 | val 74.20% | ternary-only 74.20% | gd 0.3481 | es-evals 1.5M | 902s
step  1550 | es-min 0.6656 | es-mean 0.9531 | val 77.66% | ternary-only 77.66% | gd 0.6030 | es-evals 1.6M | 932s
step  1600 | es-min 0.6627 | es-mean 0.9897 | val 79.46% | ternary-only 79.46% | gd 0.5798 | es-evals 1.6M | 961s
step  1650 | es-min 0.7435 | es-mean 1.1593 | val 79.74% | ternary-only 79.74% | gd 0.5398 | es-evals 1.7M | 992s
step  1700 | es-min 0.4576 | es-mean 0.7282 | val 76.92% | ternary-only 76.92% | gd 0.3576 | es-evals 1.7M | 1022s
step  1750 | es-min 0.3815 | es-mean 0.6383 | val 78.34% | ternary-only 78.34% | gd 0.3072 | es-evals 1.8M | 1052s
step  1800 | es-min 0.4326 | es-mean 0.7676 | val 81.97% | ternary-only 81.97% | gd 0.4446 | es-evals 1.8M | 1082s
step  1850 | es-min 0.5517 | es-mean 0.8446 | val 78.17% | ternary-only 78.17% | gd 0.5634 | es-evals 1.9M | 1112s
step  1900 | es-min 0.4697 | es-mean 0.7467 | val 71.97% | ternary-only 71.97% | gd 0.3668 | es-evals 1.9M | 1141s
step  1950 | es-min 0.4929 | es-mean 0.7611 | val 78.86% | ternary-only 78.86% | gd 0.4396 | es-evals 2.0M | 1171s
step  2000 | es-min 0.2697 | es-mean 0.5531 | val 73.11% | ternary-only 73.11% | gd 0.2420 | es-evals 2.0M | 1201s
