!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1  | tee -a mnist_fold_1.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.63% | ternary-only 9.63% | gd 2.2019 | es-evals 0.0M | 6s
step    50 | es-min 1.8704 | es-mean 2.1351 | val 37.00% | ternary-only 37.00% | gd 1.8935 | es-evals 0.1M | 35s
step   100 | es-min 1.4869 | es-mean 1.7659 | val 55.48% | ternary-only 55.48% | gd 1.3431 | es-evals 0.1M | 66s
step   150 | es-min 1.0235 | es-mean 1.4212 | val 61.66% | ternary-only 61.66% | gd 0.9449 | es-evals 0.2M | 95s
step   200 | es-min 0.8466 | es-mean 1.2733 | val 67.52% | ternary-only 67.52% | gd 0.7297 | es-evals 0.2M | 125s
step   250 | es-min 0.8936 | es-mean 1.2497 | val 73.35% | ternary-only 73.35% | gd 0.7867 | es-evals 0.3M | 155s
step   300 | es-min 0.7741 | es-mean 1.0984 | val 74.81% | ternary-only 74.81% | gd 0.7404 | es-evals 0.3M | 184s
step   350 | es-min 0.7521 | es-mean 1.1014 | val 79.48% | ternary-only 79.48% | gd 0.7253 | es-evals 0.4M | 215s
step   400 | es-min 0.9048 | es-mean 1.2907 | val 81.16% | ternary-only 81.16% | gd 0.8796 | es-evals 0.4M | 244s
step   450 | es-min 0.5076 | es-mean 0.8887 | val 82.87% | ternary-only 82.87% | gd 0.4889 | es-evals 0.5M | 274s
step   500 | es-min 0.4683 | es-mean 0.8138 | val 80.52% | ternary-only 80.52% | gd 0.3906 | es-evals 0.5M | 304s
step   550 | es-min 0.4246 | es-mean 0.6351 | val 82.46% | ternary-only 82.46% | gd 0.3556 | es-evals 0.6M | 333s
step   600 | es-min 0.5216 | es-mean 0.7949 | val 84.71% | ternary-only 84.71% | gd 0.5976 | es-evals 0.6M | 363s
step   650 | es-min 0.3984 | es-mean 0.6605 | val 83.19% | ternary-only 83.19% | gd 0.3766 | es-evals 0.7M | 393s
step   700 | es-min 0.3363 | es-mean 0.6235 | val 82.14% | ternary-only 82.14% | gd 0.2868 | es-evals 0.7M | 423s
step   750 | es-min 0.4666 | es-mean 0.8268 | val 85.03% | ternary-only 85.03% | gd 0.5146 | es-evals 0.8M | 453s
step   800 | es-min 0.5316 | es-mean 0.7984 | val 84.12% | ternary-only 84.12% | gd 0.4705 | es-evals 0.8M | 483s
step   850 | es-min 0.3728 | es-mean 0.6820 | val 84.08% | ternary-only 84.08% | gd 0.4041 | es-evals 0.9M | 513s
step   900 | es-min 0.4755 | es-mean 0.7869 | val 85.54% | ternary-only 85.54% | gd 0.3861 | es-evals 0.9M | 542s
step   950 | es-min 0.5241 | es-mean 0.8276 | val 83.99% | ternary-only 83.99% | gd 0.6367 | es-evals 1.0M | 573s
step  1000 | es-min 0.5280 | es-mean 0.7910 | val 84.48% | ternary-only 84.48% | gd 0.5992 | es-evals 1.0M | 602s
