!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1 --gd-opt sign | tee -a mnist_fold_1_sign.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 8.94% | ternary-only 8.94% | gd 2.2019 | es-evals 0.0M | 4s
step    50 | es-min 1.7013 | es-mean 1.9871 | val 40.35% | ternary-only 40.35% | gd 1.6877 | es-evals 0.1M | 33s
step   100 | es-min 1.2429 | es-mean 1.5576 | val 57.41% | ternary-only 57.41% | gd 1.1809 | es-evals 0.1M | 62s
step   150 | es-min 0.7775 | es-mean 1.1376 | val 71.20% | ternary-only 71.20% | gd 0.5702 | es-evals 0.2M | 91s
step   200 | es-min 0.5924 | es-mean 0.8499 | val 76.45% | ternary-only 76.45% | gd 0.4663 | es-evals 0.2M | 120s
step   250 | es-min 0.6748 | es-mean 1.0396 | val 78.37% | ternary-only 78.37% | gd 0.6651 | es-evals 0.3M | 149s
step   300 | es-min 0.6046 | es-mean 0.8408 | val 82.06% | ternary-only 82.06% | gd 0.5836 | es-evals 0.3M | 177s
step   350 | es-min 0.6115 | es-mean 0.8619 | val 82.92% | ternary-only 82.92% | gd 0.5499 | es-evals 0.4M | 206s
step   400 | es-min 0.8165 | es-mean 1.1520 | val 83.02% | ternary-only 83.02% | gd 0.7644 | es-evals 0.4M | 235s
step   450 | es-min 0.4016 | es-mean 0.6208 | val 83.22% | ternary-only 83.22% | gd 0.3778 | es-evals 0.5M | 264s
step   500 | es-min 0.3408 | es-mean 0.5394 | val 83.67% | ternary-only 83.67% | gd 0.3294 | es-evals 0.5M | 292s
step   550 | es-min 0.2858 | es-mean 0.4697 | val 84.46% | ternary-only 84.46% | gd 0.2574 | es-evals 0.6M | 322s
step   600 | es-min 0.3981 | es-mean 0.6033 | val 84.49% | ternary-only 84.49% | gd 0.4023 | es-evals 0.6M | 350s
step   650 | es-min 0.2548 | es-mean 0.4123 | val 85.76% | ternary-only 85.76% | gd 0.2458 | es-evals 0.7M | 379s
step   700 | es-min 0.2564 | es-mean 0.4230 | val 84.66% | ternary-only 84.66% | gd 0.2198 | es-evals 0.7M | 408s
step   750 | es-min 0.4384 | es-mean 0.7024 | val 86.70% | ternary-only 86.70% | gd 0.5144 | es-evals 0.8M | 437s
step   800 | es-min 0.3262 | es-mean 0.5961 | val 86.39% | ternary-only 86.39% | gd 0.4424 | es-evals 0.8M | 465s
step   850 | es-min 0.3868 | es-mean 0.5923 | val 86.66% | ternary-only 86.66% | gd 0.3557 | es-evals 0.9M | 495s
step   900 | es-min 0.4279 | es-mean 0.6619 | val 86.10% | ternary-only 86.10% | gd 0.4564 | es-evals 0.9M | 524s
step   950 | es-min 0.5471 | es-mean 0.7966 | val 87.41% | ternary-only 87.41% | gd 0.5701 | es-evals 1.0M | 552s
step  1000 | es-min 0.4126 | es-mean 0.6055 | val 87.01% | ternary-only 87.01% | gd 0.3420 | es-evals 1.0M | 582s
step  1050 | es-min 0.4341 | es-mean 0.6250 | val 88.02% | ternary-only 88.02% | gd 0.4469 | es-evals 1.1M | 610s
step  1100 | es-min 0.3150 | es-mean 0.5656 | val 87.84% | ternary-only 87.84% | gd 0.2821 | es-evals 1.1M | 639s
step  1150 | es-min 0.2509 | es-mean 0.5064 | val 87.24% | ternary-only 87.24% | gd 0.2600 | es-evals 1.2M | 668s
step  1200 | es-min 0.2791 | es-mean 0.4275 | val 87.27% | ternary-only 87.27% | gd 0.2480 | es-evals 1.2M | 697s
step  1250 | es-min 0.3644 | es-mean 0.5907 | val 88.12% | ternary-only 88.12% | gd 0.4389 | es-evals 1.3M | 725s
step  1300 | es-min 0.2573 | es-mean 0.4425 | val 87.26% | ternary-only 87.26% | gd 0.2753 | es-evals 1.3M | 755s
step  1350 | es-min 0.2320 | es-mean 0.4078 | val 87.28% | ternary-only 87.28% | gd 0.2314 | es-evals 1.4M | 783s
step  1400 | es-min 0.1654 | es-mean 0.3813 | val 87.17% | ternary-only 87.17% | gd 0.2197 | es-evals 1.4M | 812s
step  1450 | es-min 0.3826 | es-mean 0.5751 | val 87.85% | ternary-only 87.85% | gd 0.3961 | es-evals 1.5M | 842s
step  1500 | es-min 0.2186 | es-mean 0.3584 | val 85.20% | ternary-only 85.20% | gd 0.2027 | es-evals 1.5M | 870s
step  1550 | es-min 0.4028 | es-mean 0.6073 | val 86.34% | ternary-only 86.34% | gd 0.3869 | es-evals 1.6M | 899s
