!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1 --gd-opt muon | tee -a mnist_fold_1_muon.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.90% | ternary-only 9.90% | gd 2.2019 | es-evals 0.0M | 4s
step    50 | es-min 1.6026 | es-mean 1.9383 | val 43.96% | ternary-only 43.96% | gd 1.5742 | es-evals 0.1M | 34s
step   100 | es-min 1.2992 | es-mean 1.6004 | val 57.13% | ternary-only 57.13% | gd 1.3139 | es-evals 0.1M | 64s
step   150 | es-min 0.8041 | es-mean 1.2363 | val 66.90% | ternary-only 66.90% | gd 0.7508 | es-evals 0.2M | 94s
step   200 | es-min 0.7139 | es-mean 1.0374 | val 73.19% | ternary-only 73.19% | gd 0.5898 | es-evals 0.2M | 124s
step   250 | es-min 0.7301 | es-mean 1.0511 | val 76.91% | ternary-only 76.91% | gd 0.7002 | es-evals 0.3M | 153s
step   300 | es-min 0.6737 | es-mean 1.0093 | val 79.21% | ternary-only 79.21% | gd 0.6546 | es-evals 0.3M | 183s
step   350 | es-min 0.6079 | es-mean 0.8853 | val 78.97% | ternary-only 78.97% | gd 0.6416 | es-evals 0.4M | 213s
step   400 | es-min 0.7318 | es-mean 1.0491 | val 81.98% | ternary-only 81.98% | gd 0.7861 | es-evals 0.4M | 243s
step   450 | es-min 0.3990 | es-mean 0.6347 | val 82.67% | ternary-only 82.67% | gd 0.3129 | es-evals 0.5M | 273s
step   500 | es-min 0.3578 | es-mean 0.6210 | val 81.67% | ternary-only 81.67% | gd 0.3055 | es-evals 0.5M | 303s
step   550 | es-min 0.3230 | es-mean 0.5358 | val 82.78% | ternary-only 82.78% | gd 0.3616 | es-evals 0.6M | 332s
step   600 | es-min 0.3999 | es-mean 0.6303 | val 84.13% | ternary-only 84.13% | gd 0.4060 | es-evals 0.6M | 362s
step   650 | es-min 0.2766 | es-mean 0.5623 | val 84.21% | ternary-only 84.21% | gd 0.3237 | es-evals 0.7M | 392s
step   700 | es-min 0.3431 | es-mean 0.5860 | val 84.29% | ternary-only 84.29% | gd 0.3521 | es-evals 0.7M | 422s
step   750 | es-min 0.4995 | es-mean 0.7660 | val 84.38% | ternary-only 84.38% | gd 0.4472 | es-evals 0.8M | 452s
step   800 | es-min 0.3395 | es-mean 0.5650 | val 84.92% | ternary-only 84.92% | gd 0.3533 | es-evals 0.8M | 482s
step   850 | es-min 0.4234 | es-mean 0.6408 | val 84.52% | ternary-only 84.52% | gd 0.3852 | es-evals 0.9M | 512s
step   900 | es-min 0.4980 | es-mean 0.7283 | val 84.82% | ternary-only 84.82% | gd 0.5398 | es-evals 0.9M | 541s
step   950 | es-min 0.4442 | es-mean 0.6664 | val 85.56% | ternary-only 85.56% | gd 0.4418 | es-evals 1.0M | 571s
step  1000 | es-min 0.4874 | es-mean 0.6991 | val 84.20% | ternary-only 84.20% | gd 0.4707 | es-evals 1.0M | 601s
step  1050 | es-min 0.4435 | es-mean 0.6787 | val 84.58% | ternary-only 84.58% | gd 0.4997 | es-evals 1.1M | 631s
step  1100 | es-min 0.3187 | es-mean 0.5837 | val 85.60% | ternary-only 85.60% | gd 0.3130 | es-evals 1.1M | 661s
