!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 50  | tee -a cifar10_fold_50.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 15.57% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 2.0919 | es-mean 2.2387 | val 20.95% | ternary-only 20.95% | gd 2.0223 | es-evals 0.1M | 36s
step   100 | es-min 1.9689 | es-mean 2.1930 | val 21.46% | ternary-only 21.46% | gd 1.9570 | es-evals 0.1M | 68s
step   150 | es-min 1.8746 | es-mean 2.0312 | val 22.29% | ternary-only 22.29% | gd 1.8386 | es-evals 0.2M | 99s
step   200 | es-min 1.9527 | es-mean 2.1234 | val 25.87% | ternary-only 25.87% | gd 1.9368 | es-evals 0.2M | 130s
step   250 | es-min 1.9878 | es-mean 2.1847 | val 25.96% | ternary-only 25.96% | gd 2.0147 | es-evals 0.3M | 161s
step   300 | es-min 1.9853 | es-mean 2.1268 | val 27.30% | ternary-only 27.30% | gd 1.9505 | es-evals 0.3M | 191s
step   350 | es-min 1.8736 | es-mean 2.0615 | val 27.37% | ternary-only 27.37% | gd 1.8385 | es-evals 0.4M | 222s
step   400 | es-min 1.7852 | es-mean 1.9484 | val 22.53% | ternary-only 22.53% | gd 1.7745 | es-evals 0.4M | 253s
step   450 | es-min 1.9100 | es-mean 2.1343 | val 26.21% | ternary-only 26.21% | gd 1.8655 | es-evals 0.5M | 284s
step   500 | es-min 1.8853 | es-mean 2.0497 | val 27.50% | ternary-only 27.50% | gd 1.8934 | es-evals 0.5M | 315s
step   550 | es-min 1.8891 | es-mean 2.0488 | val 27.36% | ternary-only 27.36% | gd 1.8718 | es-evals 0.6M | 346s
step   600 | es-min 1.9681 | es-mean 2.1325 | val 28.72% | ternary-only 28.72% | gd 1.9583 | es-evals 0.6M | 377s
step   650 | es-min 1.9273 | es-mean 2.0794 | val 28.41% | ternary-only 28.41% | gd 1.9272 | es-evals 0.7M | 408s
step   700 | es-min 1.9803 | es-mean 2.1257 | val 28.91% | ternary-only 28.91% | gd 1.9456 | es-evals 0.7M | 439s
step   750 | es-min 1.8299 | es-mean 1.9824 | val 24.35% | ternary-only 24.35% | gd 1.7972 | es-evals 0.8M | 470s
step   800 | es-min 1.8219 | es-mean 1.9842 | val 24.75% | ternary-only 24.75% | gd 1.8262 | es-evals 0.8M | 502s
step   850 | es-min 1.7327 | es-mean 1.8772 | val 29.51% | ternary-only 29.51% | gd 1.7324 | es-evals 0.9M | 533s
