!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1 --pop 512 | tee -a cifar10_fold_1_pop512.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.2114 | es-mean 2.3925 | val 15.85% | ternary-only 15.85% | gd 2.2088 | es-evals 0.0M | 6s
step    50 | es-min 2.0017 | es-mean 2.2176 | val 21.34% | ternary-only 21.34% | gd 1.9941 | es-evals 0.0M | 24s
step   100 | es-min 1.8486 | es-mean 2.1020 | val 24.35% | ternary-only 24.35% | gd 1.8547 | es-evals 0.1M | 45s
step   150 | es-min 1.7796 | es-mean 2.0270 | val 26.14% | ternary-only 26.14% | gd 1.7960 | es-evals 0.1M | 65s
step   200 | es-min 1.8644 | es-mean 2.0933 | val 27.16% | ternary-only 27.16% | gd 1.8103 | es-evals 0.1M | 83s
step   250 | es-min 1.9013 | es-mean 2.1233 | val 26.12% | ternary-only 26.12% | gd 1.9266 | es-evals 0.1M | 102s
step   300 | es-min 1.8254 | es-mean 2.0032 | val 24.75% | ternary-only 24.75% | gd 1.7807 | es-evals 0.2M | 122s
step   350 | es-min 1.9770 | es-mean 2.1411 | val 27.27% | ternary-only 27.27% | gd 1.9404 | es-evals 0.2M | 141s
step   400 | es-min 1.8166 | es-mean 2.0330 | val 28.56% | ternary-only 28.56% | gd 1.7476 | es-evals 0.2M | 160s
step   450 | es-min 1.8742 | es-mean 2.1100 | val 26.94% | ternary-only 26.94% | gd 1.8771 | es-evals 0.2M | 180s
step   500 | es-min 1.8732 | es-mean 2.0570 | val 27.50% | ternary-only 27.50% | gd 1.8623 | es-evals 0.3M | 199s
step   550 | es-min 1.9423 | es-mean 2.0839 | val 26.53% | ternary-only 26.53% | gd 1.9393 | es-evals 0.3M | 219s
step   600 | es-min 1.8187 | es-mean 2.0348 | val 26.58% | ternary-only 26.58% | gd 1.8521 | es-evals 0.3M | 238s
