!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1 --pop 512 | tee -a mnist_fold_1_pop512.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1711 | es-mean 2.4295 | val 9.82% | ternary-only 9.82% | gd 2.1500 | es-evals 0.0M | 4s
step    50 | es-min 1.7574 | es-mean 2.0642 | val 34.83% | ternary-only 34.83% | gd 1.8446 | es-evals 0.0M | 23s
step   100 | es-min 1.5885 | es-mean 1.9307 | val 51.32% | ternary-only 51.32% | gd 1.5278 | es-evals 0.1M | 42s
step   150 | es-min 1.0867 | es-mean 1.3460 | val 50.67% | ternary-only 50.67% | gd 0.9694 | es-evals 0.1M | 60s
step   200 | es-min 1.0781 | es-mean 1.3449 | val 60.71% | ternary-only 60.71% | gd 0.9983 | es-evals 0.1M | 78s
step   250 | es-min 0.9840 | es-mean 1.3999 | val 64.20% | ternary-only 64.20% | gd 1.0860 | es-evals 0.1M | 97s
step   300 | es-min 1.0207 | es-mean 1.2913 | val 71.27% | ternary-only 71.27% | gd 0.9744 | es-evals 0.2M | 115s
step   350 | es-min 0.8236 | es-mean 1.1639 | val 76.26% | ternary-only 76.26% | gd 0.7169 | es-evals 0.2M | 133s
step   400 | es-min 0.8550 | es-mean 1.2709 | val 74.60% | ternary-only 74.60% | gd 0.8084 | es-evals 0.2M | 152s
step   450 | es-min 0.5604 | es-mean 0.8043 | val 76.88% | ternary-only 76.88% | gd 0.5155 | es-evals 0.2M | 171s
step   500 | es-min 0.4701 | es-mean 0.7026 | val 76.53% | ternary-only 76.53% | gd 0.3795 | es-evals 0.3M | 190s
step   550 | es-min 0.4313 | es-mean 0.6220 | val 77.10% | ternary-only 77.10% | gd 0.3759 | es-evals 0.3M | 208s
step   600 | es-min 0.5707 | es-mean 0.8111 | val 77.90% | ternary-only 77.90% | gd 0.5954 | es-evals 0.3M | 227s
step   650 | es-min 0.4786 | es-mean 0.7154 | val 81.36% | ternary-only 81.36% | gd 0.4644 | es-evals 0.3M | 246s
step   700 | es-min 0.3818 | es-mean 0.5721 | val 79.38% | ternary-only 79.38% | gd 0.3685 | es-evals 0.4M | 265s
step   750 | es-min 0.5841 | es-mean 0.8531 | val 81.12% | ternary-only 81.12% | gd 0.6618 | es-evals 0.4M | 283s
step   800 | es-min 0.5854 | es-mean 0.7924 | val 80.94% | ternary-only 80.94% | gd 0.6686 | es-evals 0.4M | 302s
step   850 | es-min 0.4843 | es-mean 0.7856 | val 82.57% | ternary-only 82.57% | gd 0.5178 | es-evals 0.4M | 320s
step   900 | es-min 0.5964 | es-mean 0.8526 | val 81.17% | ternary-only 81.17% | gd 0.5413 | es-evals 0.5M | 339s
step   950 | es-min 0.3773 | es-mean 0.6473 | val 82.50% | ternary-only 82.50% | gd 0.4384 | es-evals 0.5M | 357s
step  1000 | es-min 0.4483 | es-mean 0.6475 | val 80.36% | ternary-only 80.36% | gd 0.3878 | es-evals 0.5M | 376s
step  1050 | es-min 0.6686 | es-mean 0.9303 | val 82.73% | ternary-only 82.73% | gd 0.6485 | es-evals 0.5M | 394s
step  1100 | es-min 0.5326 | es-mean 0.7734 | val 82.59% | ternary-only 82.59% | gd 0.4720 | es-evals 0.6M | 412s
step  1150 | es-min 0.4466 | es-mean 0.6668 | val 82.74% | ternary-only 82.74% | gd 0.5124 | es-evals 0.6M | 431s
step  1200 | es-min 0.3384 | es-mean 0.4932 | val 83.01% | ternary-only 83.01% | gd 0.2956 | es-evals 0.6M | 449s
step  1250 | es-min 0.5731 | es-mean 0.8285 | val 84.03% | ternary-only 84.03% | gd 0.6389 | es-evals 0.6M | 468s
step  1300 | es-min 0.3740 | es-mean 0.5806 | val 82.99% | ternary-only 82.99% | gd 0.3288 | es-evals 0.7M | 486s
step  1350 | es-min 0.2740 | es-mean 0.4542 | val 81.76% | ternary-only 81.76% | gd 0.2752 | es-evals 0.7M | 505s
step  1400 | es-min 0.3169 | es-mean 0.5406 | val 82.13% | ternary-only 82.13% | gd 0.3304 | es-evals 0.7M | 524s
step  1450 | es-min 0.5477 | es-mean 0.8138 | val 83.08% | ternary-only 83.08% | gd 0.5741 | es-evals 0.7M | 543s
step  1500 | es-min 0.3843 | es-mean 0.5528 | val 82.00% | ternary-only 82.00% | gd 0.3644 | es-evals 0.8M | 562s
step  1550 | es-min 0.5959 | es-mean 0.8331 | val 83.02% | ternary-only 83.02% | gd 0.6723 | es-evals 0.8M | 581s
step  1600 | es-min 0.7417 | es-mean 0.9963 | val 82.75% | ternary-only 82.75% | gd 0.7681 | es-evals 0.8M | 600s
step  1650 | es-min 0.6732 | es-mean 0.9654 | val 82.51% | ternary-only 82.51% | gd 0.6041 | es-evals 0.8M | 619s
step  1700 | es-min 0.4398 | es-mean 0.6274 | val 83.23% | ternary-only 83.23% | gd 0.4558 | es-evals 0.9M | 638s
step  1750 | es-min 0.4385 | es-mean 0.6734 | val 81.61% | ternary-only 81.61% | gd 0.5319 | es-evals 0.9M | 657s
step  1800 | es-min 0.5161 | es-mean 0.8025 | val 81.35% | ternary-only 81.35% | gd 0.4762 | es-evals 0.9M | 676s
step  1850 | es-min 0.4391 | es-mean 0.7770 | val 82.62% | ternary-only 82.62% | gd 0.5316 | es-evals 0.9M | 695s
step  1900 | es-min 0.5059 | es-mean 0.7309 | val 81.23% | ternary-only 81.23% | gd 0.5769 | es-evals 1.0M | 713s
step  1950 | es-min 0.5212 | es-mean 0.7501 | val 82.93% | ternary-only 82.93% | gd 0.5293 | es-evals 1.0M | 732s
step  2000 | es-min 0.4301 | es-mean 0.6689 | val 83.10% | ternary-only 83.10% | gd 0.4918 | es-evals 1.0M | 751s
