!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 10 --gd-opt sign | tee -a cifar10_fold_10_sign.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 16.55% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 1.9339 | es-mean 2.1037 | val 22.60% | ternary-only 22.60% | gd 1.9111 | es-evals 0.1M | 34s
step   100 | es-min 1.9727 | es-mean 2.2113 | val 25.04% | ternary-only 25.04% | gd 1.9028 | es-evals 0.1M | 65s
step   150 | es-min 1.9001 | es-mean 2.1258 | val 23.58% | ternary-only 23.58% | gd 1.8495 | es-evals 0.2M | 95s
step   200 | es-min 2.0172 | es-mean 2.2571 | val 25.84% | ternary-only 25.84% | gd 1.9644 | es-evals 0.2M | 125s
step   250 | es-min 1.8971 | es-mean 2.1855 | val 27.23% | ternary-only 27.23% | gd 1.9098 | es-evals 0.3M | 155s
step   300 | es-min 1.9188 | es-mean 2.1740 | val 28.11% | ternary-only 28.11% | gd 1.9886 | es-evals 0.3M | 185s
step   350 | es-min 1.8404 | es-mean 2.0747 | val 29.44% | ternary-only 29.44% | gd 1.8695 | es-evals 0.4M | 215s
step   400 | es-min 1.8161 | es-mean 2.0510 | val 23.40% | ternary-only 23.40% | gd 1.7916 | es-evals 0.4M | 244s
step   450 | es-min 1.7981 | es-mean 1.9932 | val 29.25% | ternary-only 29.25% | gd 1.7748 | es-evals 0.5M | 275s
step   500 | es-min 1.9070 | es-mean 2.1611 | val 24.63% | ternary-only 24.63% | gd 1.8420 | es-evals 0.5M | 304s
step   550 | es-min 1.9060 | es-mean 2.1400 | val 26.43% | ternary-only 26.43% | gd 1.9367 | es-evals 0.6M | 335s
step   600 | es-min 1.8266 | es-mean 1.9970 | val 30.77% | ternary-only 30.77% | gd 1.8600 | es-evals 0.6M | 364s
step   650 | es-min 1.8895 | es-mean 2.1190 | val 28.03% | ternary-only 28.03% | gd 1.8907 | es-evals 0.7M | 394s
step   700 | es-min 2.0165 | es-mean 2.2209 | val 26.45% | ternary-only 26.45% | gd 1.9956 | es-evals 0.7M | 424s
step   750 | es-min 1.9060 | es-mean 2.0834 | val 26.58% | ternary-only 26.58% | gd 1.9037 | es-evals 0.8M | 454s
step   800 | es-min 1.7130 | es-mean 2.0155 | val 28.06% | ternary-only 28.06% | gd 1.7092 | es-evals 0.8M | 485s
step   850 | es-min 2.0564 | es-mean 2.3423 | val 17.87% | ternary-only 17.87% | gd 1.8864 | es-evals 0.9M | 515s
step   900 | es-min 2.1619 | es-mean 2.4733 | val 20.81% | ternary-only 20.81% | gd 2.1069 | es-evals 0.9M | 545s
step   950 | es-min 1.9503 | es-mean 2.3219 | val 17.03% | ternary-only 17.03% | gd 1.8454 | es-evals 1.0M | 575s
step  1000 | es-min 1.7000 | es-mean 1.9761 | val 26.98% | ternary-only 26.98% | gd 1.6791 | es-evals 1.0M | 604s
step  1050 | es-min 2.0021 | es-mean 2.1489 | val 24.58% | ternary-only 24.58% | gd 1.9851 | es-evals 1.1M | 635s
step  1100 | es-min 1.9019 | es-mean 2.1194 | val 21.81% | ternary-only 21.81% | gd 1.8427 | es-evals 1.1M | 664s
step  1150 | es-min 2.0671 | es-mean 2.2342 | val 16.49% | ternary-only 16.49% | gd 2.0808 | es-evals 1.2M | 695s
step  1200 | es-min 1.9494 | es-mean 2.1070 | val 19.33% | ternary-only 19.33% | gd 1.9436 | es-evals 1.2M | 724s
step  1250 | es-min 1.8838 | es-mean 2.0627 | val 20.27% | ternary-only 20.27% | gd 1.9524 | es-evals 1.3M | 754s
step  1300 | es-min 1.9961 | es-mean 2.2093 | val 19.16% | ternary-only 19.16% | gd 2.0085 | es-evals 1.3M | 784s
step  1350 | es-min 2.0336 | es-mean 2.1658 | val 25.68% | ternary-only 25.68% | gd 2.0030 | es-evals 1.4M | 814s
step  1400 | es-min 1.9937 | es-mean 2.1588 | val 18.59% | ternary-only 18.59% | gd 1.9439 | es-evals 1.4M | 845s
step  1450 | es-min 1.9339 | es-mean 2.1354 | val 25.72% | ternary-only 25.72% | gd 1.9566 | es-evals 1.5M | 875s
step  1500 | es-min 1.8922 | es-mean 2.0992 | val 22.46% | ternary-only 22.46% | gd 1.8837 | es-evals 1.5M | 905s
step  1550 | es-min 2.1011 | es-mean 2.2848 | val 24.50% | ternary-only 24.50% | gd 2.2677 | es-evals 1.6M | 935s
step  1600 | es-min 1.9850 | es-mean 2.1878 | val 17.40% | ternary-only 17.40% | gd 1.9131 | es-evals 1.6M | 965s
step  1650 | es-min 1.9566 | es-mean 2.1346 | val 20.82% | ternary-only 20.82% | gd 1.9373 | es-evals 1.7M | 995s
step  1700 | es-min 1.9319 | es-mean 2.1154 | val 22.66% | ternary-only 22.66% | gd 2.1407 | es-evals 1.7M | 1025s
step  1750 | es-min 1.8103 | es-mean 1.9911 | val 27.66% | ternary-only 27.66% | gd 1.8872 | es-evals 1.8M | 1055s
step  1800 | es-min 2.0125 | es-mean 2.2541 | val 15.29% | ternary-only 15.29% | gd 2.1834 | es-evals 1.8M | 1085s
step  1850 | es-min 1.8742 | es-mean 2.0450 | val 24.64% | ternary-only 24.64% | gd 1.9640 | es-evals 1.9M | 1115s
step  1900 | es-min 1.9303 | es-mean 2.1350 | val 25.07% | ternary-only 25.07% | gd 1.9208 | es-evals 1.9M | 1145s
step  1950 | es-min 1.9376 | es-mean 2.2040 | val 25.91% | ternary-only 25.91% | gd 2.0563 | es-evals 2.0M | 1175s
step  2000 | es-min 1.9083 | es-mean 2.2051 | val 25.68% | ternary-only 25.68% | gd 1.8347 | es-evals 2.0M | 1206s
