!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 10  | tee -a cifar10_fold_10.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 15.57% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 5s
step    50 | es-min 2.1340 | es-mean 2.3883 | val 18.94% | ternary-only 18.94% | gd 2.1277 | es-evals 0.1M | 36s
step   100 | es-min 1.9472 | es-mean 2.2056 | val 24.78% | ternary-only 24.78% | gd 1.9330 | es-evals 0.1M | 67s
step   150 | es-min 1.8569 | es-mean 2.1003 | val 27.43% | ternary-only 27.43% | gd 1.8383 | es-evals 0.2M | 99s
step   200 | es-min 1.9089 | es-mean 2.1073 | val 26.98% | ternary-only 26.98% | gd 1.9015 | es-evals 0.2M | 130s
step   250 | es-min 2.0249 | es-mean 2.3483 | val 27.72% | ternary-only 27.72% | gd 2.0652 | es-evals 0.3M | 161s
step   300 | es-min 1.8765 | es-mean 2.0535 | val 27.82% | ternary-only 27.82% | gd 1.9282 | es-evals 0.3M | 192s
step   350 | es-min 1.9090 | es-mean 2.1379 | val 27.60% | ternary-only 27.60% | gd 1.9300 | es-evals 0.4M | 223s
step   400 | es-min 1.7260 | es-mean 1.8714 | val 28.85% | ternary-only 28.85% | gd 1.7257 | es-evals 0.4M | 254s
step   450 | es-min 1.9042 | es-mean 2.0762 | val 24.03% | ternary-only 24.03% | gd 1.8880 | es-evals 0.5M | 285s
step   500 | es-min 1.8927 | es-mean 2.0487 | val 27.28% | ternary-only 27.28% | gd 1.8329 | es-evals 0.5M | 316s
step   550 | es-min 1.7736 | es-mean 1.9909 | val 30.59% | ternary-only 30.59% | gd 1.7741 | es-evals 0.6M | 347s
step   600 | es-min 1.8476 | es-mean 2.0177 | val 30.15% | ternary-only 30.15% | gd 1.9031 | es-evals 0.6M | 378s
step   650 | es-min 1.7966 | es-mean 1.9555 | val 30.64% | ternary-only 30.64% | gd 1.7478 | es-evals 0.7M | 409s
step   700 | es-min 2.0657 | es-mean 2.2595 | val 30.16% | ternary-only 30.16% | gd 2.1015 | es-evals 0.7M | 439s
step   750 | es-min 1.7137 | es-mean 1.8753 | val 27.65% | ternary-only 27.65% | gd 1.7097 | es-evals 0.8M | 470s
step   800 | es-min 1.7260 | es-mean 1.8620 | val 32.72% | ternary-only 32.72% | gd 1.7552 | es-evals 0.8M | 501s
step   850 | es-min 1.6914 | es-mean 1.8260 | val 31.60% | ternary-only 31.60% | gd 1.6522 | es-evals 0.9M | 532s
step   900 | es-min 1.7618 | es-mean 1.9183 | val 30.72% | ternary-only 30.72% | gd 1.7328 | es-evals 0.9M | 563s
step   950 | es-min 1.6610 | es-mean 1.8174 | val 32.73% | ternary-only 32.73% | gd 1.6329 | es-evals 1.0M | 594s
step  1000 | es-min 1.5907 | es-mean 1.7231 | val 30.96% | ternary-only 30.96% | gd 1.6009 | es-evals 1.0M | 625s
step  1050 | es-min 1.8567 | es-mean 2.0673 | val 26.96% | ternary-only 26.96% | gd 1.8859 | es-evals 1.1M | 656s
step  1100 | es-min 1.8475 | es-mean 1.9933 | val 30.48% | ternary-only 30.48% | gd 1.8109 | es-evals 1.1M | 687s
step  1150 | es-min 1.9399 | es-mean 2.0527 | val 28.87% | ternary-only 28.87% | gd 1.9610 | es-evals 1.2M | 718s
step  1200 | es-min 1.8922 | es-mean 2.0832 | val 29.39% | ternary-only 29.39% | gd 1.8940 | es-evals 1.2M | 750s
step  1250 | es-min 1.8977 | es-mean 2.0488 | val 24.30% | ternary-only 24.30% | gd 1.8695 | es-evals 1.3M | 781s
step  1300 | es-min 1.8025 | es-mean 1.9479 | val 27.07% | ternary-only 27.07% | gd 1.8556 | es-evals 1.3M | 812s
step  1350 | es-min 1.8963 | es-mean 2.0654 | val 24.45% | ternary-only 24.45% | gd 1.9521 | es-evals 1.4M | 844s
step  1400 | es-min 1.9398 | es-mean 2.1001 | val 23.60% | ternary-only 23.60% | gd 1.9897 | es-evals 1.4M | 875s
step  1450 | es-min 1.9672 | es-mean 2.1526 | val 24.89% | ternary-only 24.89% | gd 2.0075 | es-evals 1.5M | 906s
step  1500 | es-min 1.9167 | es-mean 2.1240 | val 27.81% | ternary-only 27.81% | gd 1.9123 | es-evals 1.5M | 938s
