!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 10 --gd-opt sign | tee -a mnist_fold_10_sign.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=sign | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.54% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 1.6473 | es-mean 1.9711 | val 44.15% | ternary-only 44.15% | gd 1.6779 | es-evals 0.1M | 34s
step   100 | es-min 1.2649 | es-mean 1.7297 | val 60.65% | ternary-only 60.65% | gd 1.2079 | es-evals 0.1M | 63s
step   150 | es-min 0.9387 | es-mean 1.3906 | val 64.53% | ternary-only 64.53% | gd 0.7332 | es-evals 0.2M | 92s
step   200 | es-min 0.6121 | es-mean 0.9550 | val 74.15% | ternary-only 74.15% | gd 0.3741 | es-evals 0.2M | 121s
step   250 | es-min 0.6915 | es-mean 1.0533 | val 78.86% | ternary-only 78.86% | gd 0.6284 | es-evals 0.3M | 150s
step   300 | es-min 0.6686 | es-mean 0.9824 | val 80.35% | ternary-only 80.35% | gd 0.6888 | es-evals 0.3M | 179s
step   350 | es-min 0.6376 | es-mean 0.9258 | val 80.50% | ternary-only 80.50% | gd 0.5228 | es-evals 0.4M | 208s
step   400 | es-min 0.8062 | es-mean 1.2512 | val 79.14% | ternary-only 79.14% | gd 0.9864 | es-evals 0.4M | 237s
step   450 | es-min 0.5434 | es-mean 0.8812 | val 78.10% | ternary-only 78.10% | gd 0.4648 | es-evals 0.5M | 267s
step   500 | es-min 0.2564 | es-mean 0.5127 | val 82.68% | ternary-only 82.68% | gd 0.2886 | es-evals 0.5M | 296s
step   550 | es-min 0.4898 | es-mean 0.8624 | val 77.02% | ternary-only 77.02% | gd 0.3862 | es-evals 0.6M | 325s
step   600 | es-min 0.4263 | es-mean 0.7273 | val 79.67% | ternary-only 79.67% | gd 0.3912 | es-evals 0.6M | 354s
step   650 | es-min 0.4364 | es-mean 0.8412 | val 75.15% | ternary-only 75.15% | gd 0.2913 | es-evals 0.7M | 383s
step   700 | es-min 0.3612 | es-mean 0.5786 | val 80.98% | ternary-only 80.98% | gd 0.3270 | es-evals 0.7M | 412s
step   750 | es-min 0.5138 | es-mean 0.7919 | val 84.88% | ternary-only 84.88% | gd 0.5393 | es-evals 0.8M | 442s
step   800 | es-min 0.4937 | es-mean 0.8436 | val 83.01% | ternary-only 83.01% | gd 0.4024 | es-evals 0.8M | 471s
step   850 | es-min 0.4398 | es-mean 0.6840 | val 84.27% | ternary-only 84.27% | gd 0.4001 | es-evals 0.9M | 500s
step   900 | es-min 0.4450 | es-mean 0.8444 | val 80.31% | ternary-only 80.31% | gd 0.4030 | es-evals 0.9M | 529s
step   950 | es-min 0.5888 | es-mean 1.0264 | val 83.88% | ternary-only 83.88% | gd 0.4623 | es-evals 1.0M | 558s
step  1000 | es-min 0.5079 | es-mean 0.8533 | val 77.17% | ternary-only 77.17% | gd 0.3578 | es-evals 1.0M | 588s
step  1050 | es-min 0.6564 | es-mean 0.9799 | val 82.61% | ternary-only 82.61% | gd 0.5640 | es-evals 1.1M | 617s
step  1100 | es-min 0.7984 | es-mean 1.5945 | val 75.64% | ternary-only 75.64% | gd 0.6435 | es-evals 1.1M | 646s
step  1150 | es-min 0.2969 | es-mean 0.5896 | val 84.49% | ternary-only 84.49% | gd 0.4402 | es-evals 1.2M | 675s
step  1200 | es-min 0.3896 | es-mean 0.6730 | val 83.06% | ternary-only 83.06% | gd 0.4392 | es-evals 1.2M | 704s
step  1250 | es-min 0.4984 | es-mean 0.7820 | val 78.36% | ternary-only 78.36% | gd 0.4945 | es-evals 1.3M | 734s
step  1300 | es-min 0.5566 | es-mean 1.0797 | val 77.91% | ternary-only 77.91% | gd 0.4120 | es-evals 1.3M | 763s
step  1350 | es-min 0.5582 | es-mean 0.9432 | val 79.66% | ternary-only 79.66% | gd 0.4730 | es-evals 1.4M | 792s
step  1400 | es-min 0.7393 | es-mean 1.3843 | val 69.54% | ternary-only 69.54% | gd 0.5194 | es-evals 1.4M | 822s
step  1450 | es-min 0.6170 | es-mean 1.0046 | val 82.08% | ternary-only 82.08% | gd 0.5444 | es-evals 1.5M | 851s
step  1500 | es-min 0.4303 | es-mean 0.8606 | val 69.87% | ternary-only 69.87% | gd 0.4400 | es-evals 1.5M | 879s
step  1550 | es-min 0.7655 | es-mean 1.3817 | val 74.99% | ternary-only 74.99% | gd 0.6594 | es-evals 1.6M | 909s
step  1600 | es-min 0.5739 | es-mean 1.0262 | val 75.62% | ternary-only 75.62% | gd 0.6250 | es-evals 1.6M | 938s
step  1650 | es-min 0.9081 | es-mean 1.5535 | val 68.94% | ternary-only 68.94% | gd 0.5986 | es-evals 1.7M | 967s
step  1700 | es-min 0.8114 | es-mean 1.3518 | val 59.81% | ternary-only 59.81% | gd 0.5506 | es-evals 1.7M | 996s
step  1750 | es-min 0.5621 | es-mean 0.8980 | val 73.86% | ternary-only 73.86% | gd 0.5431 | es-evals 1.8M | 1025s
step  1800 | es-min 0.6189 | es-mean 1.0820 | val 68.61% | ternary-only 68.61% | gd 0.5435 | es-evals 1.8M | 1055s
step  1850 | es-min 0.5586 | es-mean 0.9705 | val 69.51% | ternary-only 69.51% | gd 0.5997 | es-evals 1.9M | 1084s
step  1900 | es-min 0.7670 | es-mean 1.3545 | val 72.46% | ternary-only 72.46% | gd 0.6332 | es-evals 1.9M | 1113s
step  1950 | es-min 0.6792 | es-mean 1.2076 | val 51.40% | ternary-only 51.40% | gd 0.5840 | es-evals 2.0M | 1142s
step  2000 | es-min 0.6179 | es-mean 0.9888 | val 61.75% | ternary-only 61.75% | gd 0.5346 | es-evals 2.0M | 1171s
