!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 1 --pop 128 | tee -a mnist_fold_1_pop128.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1950 | es-mean 2.4348 | val 9.79% | ternary-only 9.79% | gd 2.2264 | es-evals 0.0M | 4s
step    50 | es-min 1.9808 | es-mean 2.3279 | val 32.99% | ternary-only 32.99% | gd 1.9623 | es-evals 0.0M | 13s
step   100 | es-min 1.7219 | es-mean 2.1421 | val 40.62% | ternary-only 40.62% | gd 1.6891 | es-evals 0.0M | 21s
step   150 | es-min 1.5619 | es-mean 1.8765 | val 44.07% | ternary-only 44.07% | gd 1.6349 | es-evals 0.0M | 28s
step   200 | es-min 1.5118 | es-mean 1.8476 | val 44.80% | ternary-only 44.80% | gd 1.6087 | es-evals 0.0M | 37s
step   250 | es-min 1.6549 | es-mean 1.9579 | val 47.19% | ternary-only 47.19% | gd 1.6673 | es-evals 0.0M | 45s
step   300 | es-min 1.5460 | es-mean 1.8668 | val 46.82% | ternary-only 46.82% | gd 1.4220 | es-evals 0.0M | 53s
step   350 | es-min 1.5729 | es-mean 1.8562 | val 48.93% | ternary-only 48.93% | gd 1.4932 | es-evals 0.0M | 61s
step   400 | es-min 1.4934 | es-mean 1.8517 | val 46.79% | ternary-only 46.79% | gd 1.4827 | es-evals 0.1M | 69s
step   450 | es-min 1.2279 | es-mean 1.5141 | val 45.70% | ternary-only 45.70% | gd 1.3814 | es-evals 0.1M | 77s
step   500 | es-min 1.2683 | es-mean 1.6406 | val 51.28% | ternary-only 51.28% | gd 1.3021 | es-evals 0.1M | 85s
step   550 | es-min 1.0485 | es-mean 1.4364 | val 50.53% | ternary-only 50.53% | gd 1.2278 | es-evals 0.1M | 93s
step   600 | es-min 1.2839 | es-mean 1.7110 | val 52.48% | ternary-only 52.48% | gd 1.3658 | es-evals 0.1M | 101s
step   650 | es-min 1.3063 | es-mean 1.7528 | val 52.89% | ternary-only 52.89% | gd 1.2843 | es-evals 0.1M | 109s
step   700 | es-min 1.0354 | es-mean 1.3869 | val 51.85% | ternary-only 51.85% | gd 1.1800 | es-evals 0.1M | 117s
step   750 | es-min 1.2959 | es-mean 1.7617 | val 51.70% | ternary-only 51.70% | gd 1.2679 | es-evals 0.1M | 125s
step   800 | es-min 1.2068 | es-mean 1.5178 | val 56.00% | ternary-only 56.00% | gd 1.1362 | es-evals 0.1M | 133s
step   850 | es-min 1.1123 | es-mean 1.5300 | val 54.69% | ternary-only 54.69% | gd 1.1250 | es-evals 0.1M | 141s
step   900 | es-min 1.3775 | es-mean 1.7848 | val 56.63% | ternary-only 56.63% | gd 1.3090 | es-evals 0.1M | 149s
step   950 | es-min 1.2170 | es-mean 1.6060 | val 60.57% | ternary-only 60.57% | gd 1.3981 | es-evals 0.1M | 157s
step  1000 | es-min 0.8359 | es-mean 1.1579 | val 61.28% | ternary-only 61.28% | gd 1.0914 | es-evals 0.1M | 165s
step  1050 | es-min 1.2084 | es-mean 1.5446 | val 62.48% | ternary-only 62.48% | gd 1.3435 | es-evals 0.1M | 173s
step  1100 | es-min 0.8172 | es-mean 1.1072 | val 60.16% | ternary-only 60.16% | gd 1.0193 | es-evals 0.1M | 180s
step  1150 | es-min 1.0896 | es-mean 1.3814 | val 65.05% | ternary-only 65.05% | gd 0.9645 | es-evals 0.1M | 189s
step  1200 | es-min 0.8229 | es-mean 1.0944 | val 63.12% | ternary-only 63.12% | gd 0.8489 | es-evals 0.2M | 197s
step  1250 | es-min 1.0681 | es-mean 1.3226 | val 61.73% | ternary-only 61.73% | gd 0.9463 | es-evals 0.2M | 204s
step  1300 | es-min 0.8147 | es-mean 1.1059 | val 67.19% | ternary-only 67.19% | gd 0.9505 | es-evals 0.2M | 213s
