!python -u spike-m2rnn/hybrid/train.py --dataset mnist --fold-every 10  | tee -a mnist_fold_10.log

hybrid ViT | mnist | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=69k  residual(fp) params=7.9k (11.4% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.1815 | es-mean 2.4287 | val 9.51% | ternary-only 12.48% | gd 2.2019 | es-evals 0.0M | 5s
step    50 | es-min 1.6245 | es-mean 1.9299 | val 45.73% | ternary-only 45.73% | gd 1.5141 | es-evals 0.1M | 35s
step   100 | es-min 1.2627 | es-mean 1.5595 | val 60.88% | ternary-only 60.88% | gd 1.1581 | es-evals 0.1M | 65s
step   150 | es-min 0.7401 | es-mean 1.0846 | val 65.77% | ternary-only 65.77% | gd 0.5864 | es-evals 0.2M | 95s
step   200 | es-min 0.6818 | es-mean 1.0915 | val 69.58% | ternary-only 69.58% | gd 0.4654 | es-evals 0.2M | 125s
step   250 | es-min 0.6246 | es-mean 0.9486 | val 79.45% | ternary-only 79.45% | gd 0.5377 | es-evals 0.3M | 155s
step   300 | es-min 0.9380 | es-mean 1.5445 | val 71.68% | ternary-only 71.68% | gd 0.9507 | es-evals 0.3M | 185s
step   350 | es-min 0.6177 | es-mean 0.9576 | val 78.70% | ternary-only 78.70% | gd 0.5973 | es-evals 0.4M | 215s
step   400 | es-min 0.7855 | es-mean 1.2397 | val 80.40% | ternary-only 80.40% | gd 0.8396 | es-evals 0.4M | 246s
step   450 | es-min 0.4113 | es-mean 0.7377 | val 79.53% | ternary-only 79.53% | gd 0.3332 | es-evals 0.5M | 276s
step   500 | es-min 0.4146 | es-mean 0.7234 | val 83.97% | ternary-only 83.97% | gd 0.3699 | es-evals 0.5M | 307s
step   550 | es-min 0.3295 | es-mean 0.5904 | val 84.81% | ternary-only 84.81% | gd 0.2325 | es-evals 0.6M | 336s
step   600 | es-min 0.4548 | es-mean 0.7372 | val 83.54% | ternary-only 83.54% | gd 0.5456 | es-evals 0.6M | 367s
step   650 | es-min 0.3212 | es-mean 0.5542 | val 85.22% | ternary-only 85.22% | gd 0.2155 | es-evals 0.7M | 397s
step   700 | es-min 0.4023 | es-mean 0.7126 | val 77.92% | ternary-only 77.92% | gd 0.3128 | es-evals 0.7M | 427s
step   750 | es-min 0.4088 | es-mean 0.7249 | val 82.78% | ternary-only 82.78% | gd 0.4124 | es-evals 0.8M | 458s
step   800 | es-min 0.4610 | es-mean 0.7587 | val 82.68% | ternary-only 82.68% | gd 0.3630 | es-evals 0.8M | 488s
step   850 | es-min 0.4962 | es-mean 0.8640 | val 83.70% | ternary-only 83.70% | gd 0.4398 | es-evals 0.9M | 519s
step   900 | es-min 0.2800 | es-mean 0.5073 | val 85.51% | ternary-only 85.51% | gd 0.3373 | es-evals 0.9M | 550s
step   950 | es-min 0.4379 | es-mean 0.6478 | val 85.25% | ternary-only 85.25% | gd 0.4233 | es-evals 1.0M | 580s
step  1000 | es-min 0.5743 | es-mean 1.0776 | val 81.78% | ternary-only 81.78% | gd 0.5717 | es-evals 1.0M | 610s
step  1050 | es-min 0.5390 | es-mean 0.8156 | val 80.92% | ternary-only 80.92% | gd 0.4779 | es-evals 1.1M | 641s
step  1100 | es-min 0.3975 | es-mean 0.7035 | val 80.12% | ternary-only 80.12% | gd 0.2549 | es-evals 1.1M | 671s
step  1150 | es-min 0.4245 | es-mean 0.6654 | val 84.88% | ternary-only 84.88% | gd 0.3466 | es-evals 1.2M | 701s
step  1200 | es-min 0.3489 | es-mean 0.5699 | val 83.53% | ternary-only 83.53% | gd 0.3219 | es-evals 1.2M | 731s
step  1250 | es-min 0.5228 | es-mean 0.8589 | val 84.99% | ternary-only 84.99% | gd 0.4938 | es-evals 1.3M | 761s
step  1300 | es-min 0.4579 | es-mean 0.7922 | val 84.33% | ternary-only 84.33% | gd 0.4395 | es-evals 1.3M | 792s
step  1350 | es-min 0.2825 | es-mean 0.5002 | val 80.70% | ternary-only 80.70% | gd 0.2045 | es-evals 1.4M | 822s
step  1400 | es-min 0.5758 | es-mean 1.1181 | val 77.64% | ternary-only 77.64% | gd 0.4366 | es-evals 1.4M | 853s
step  1450 | es-min 0.6539 | es-mean 1.1494 | val 80.74% | ternary-only 80.74% | gd 0.5871 | es-evals 1.5M | 883s
step  1500 | es-min 0.2978 | es-mean 0.4932 | val 84.43% | ternary-only 84.43% | gd 0.3093 | es-evals 1.5M | 913s
step  1550 | es-min 0.7233 | es-mean 1.1053 | val 79.40% | ternary-only 79.40% | gd 0.5577 | es-evals 1.6M | 943s
step  1600 | es-min 0.5219 | es-mean 0.8758 | val 79.03% | ternary-only 79.03% | gd 0.4117 | es-evals 1.6M | 974s
step  1650 | es-min 0.8090 | es-mean 1.2885 | val 78.19% | ternary-only 78.19% | gd 0.6707 | es-evals 1.7M | 1004s
step  1700 | es-min 0.6030 | es-mean 1.1705 | val 79.37% | ternary-only 79.37% | gd 0.5281 | es-evals 1.7M | 1034s
step  1750 | es-min 0.3731 | es-mean 0.5569 | val 78.87% | ternary-only 78.87% | gd 0.3120 | es-evals 1.8M | 1064s
step  1800 | es-min 0.4987 | es-mean 0.8385 | val 84.42% | ternary-only 84.42% | gd 0.4631 | es-evals 1.8M | 1094s
step  1850 | es-min 0.6418 | es-mean 1.2298 | val 73.44% | ternary-only 73.44% | gd 0.5901 | es-evals 1.9M | 1125s
step  1900 | es-min 0.5595 | es-mean 0.8678 | val 69.85% | ternary-only 69.85% | gd 0.8116 | es-evals 1.9M | 1155s
step  1950 | es-min 0.5205 | es-mean 0.8724 | val 64.67% | ternary-only 64.67% | gd 0.6251 | es-evals 2.0M | 1185s
step  2000 | es-min 0.4970 | es-mean 0.8546 | val 73.52% | ternary-only 73.52% | gd 0.5649 | es-evals 2.0M | 1215s
