!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 1 --pop 128 | tee -a cifar10_fold_1_pop128.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=rmsnorm | dev=cuda
step     1 | es-min 2.2479 | es-mean 2.4128 | val 15.35% | ternary-only 15.35% | gd 2.2245 | es-evals 0.0M | 5s
step    50 | es-min 1.9663 | es-mean 2.2768 | val 21.50% | ternary-only 21.50% | gd 1.9544 | es-evals 0.0M | 13s
step   100 | es-min 1.9775 | es-mean 2.2500 | val 20.88% | ternary-only 20.88% | gd 2.0185 | es-evals 0.0M | 22s
step   150 | es-min 2.0401 | es-mean 2.3242 | val 20.72% | ternary-only 20.72% | gd 2.0253 | es-evals 0.0M | 30s
step   200 | es-min 2.1880 | es-mean 2.4354 | val 19.89% | ternary-only 19.89% | gd 2.1142 | es-evals 0.0M | 39s
step   250 | es-min 2.1142 | es-mean 2.3388 | val 18.17% | ternary-only 18.17% | gd 2.1110 | es-evals 0.0M | 47s
step   300 | es-min 2.0823 | es-mean 2.3556 | val 21.23% | ternary-only 21.23% | gd 2.1663 | es-evals 0.0M | 55s
step   350 | es-min 2.2024 | es-mean 2.4051 | val 21.39% | ternary-only 21.39% | gd 2.1565 | es-evals 0.0M | 64s
step   400 | es-min 2.0245 | es-mean 2.2255 | val 19.53% | ternary-only 19.53% | gd 1.9492 | es-evals 0.1M | 73s
step   450 | es-min 2.1223 | es-mean 2.3224 | val 18.87% | ternary-only 18.87% | gd 2.1215 | es-evals 0.1M | 81s
step   500 | es-min 2.1810 | es-mean 2.3565 | val 18.33% | ternary-only 18.33% | gd 2.2684 | es-evals 0.1M | 89s
step   550 | es-min 2.0433 | es-mean 2.1756 | val 19.90% | ternary-only 19.90% | gd 2.0356 | es-evals 0.1M | 98s
step   600 | es-min 2.0824 | es-mean 2.2821 | val 19.82% | ternary-only 19.82% | gd 2.0696 | es-evals 0.1M | 106s
step   650 | es-min 1.9600 | es-mean 2.2208 | val 18.26% | ternary-only 18.26% | gd 1.9566 | es-evals 0.1M | 114s
step   700 | es-min 2.1481 | es-mean 2.3427 | val 18.17% | ternary-only 18.17% | gd 2.2021 | es-evals 0.1M | 123s
step   750 | es-min 2.0675 | es-mean 2.3087 | val 18.94% | ternary-only 18.94% | gd 2.0200 | es-evals 0.1M | 131s
step   800 | es-min 2.0267 | es-mean 2.3231 | val 19.68% | ternary-only 19.68% | gd 2.0231 | es-evals 0.1M | 140s
step   850 | es-min 2.0318 | es-mean 2.2521 | val 17.72% | ternary-only 17.72% | gd 1.9658 | es-evals 0.1M | 149s
step   900 | es-min 2.1430 | es-mean 2.3095 | val 20.47% | ternary-only 20.47% | gd 2.1331 | es-evals 0.1M | 157s
step   950 | es-min 2.0519 | es-mean 2.2717 | val 19.60% | ternary-only 19.60% | gd 2.1072 | es-evals 0.1M | 165s
step  1000 | es-min 1.8167 | es-mean 2.1639 | val 20.48% | ternary-only 20.48% | gd 1.8986 | es-evals 0.1M | 174s
step  1050 | es-min 2.1359 | es-mean 2.3513 | val 17.82% | ternary-only 17.82% | gd 2.1719 | es-evals 0.1M | 182s
step  1100 | es-min 2.1226 | es-mean 2.3791 | val 17.95% | ternary-only 17.95% | gd 2.0831 | es-evals 0.1M | 191s
step  1150 | es-min 2.0339 | es-mean 2.2811 | val 19.17% | ternary-only 19.17% | gd 2.1886 | es-evals 0.1M | 200s
step  1200 | es-min 2.1041 | es-mean 2.4426 | val 19.36% | ternary-only 19.36% | gd 2.1904 | es-evals 0.2M | 208s
step  1250 | es-min 2.1141 | es-mean 2.3515 | val 17.11% | ternary-only 17.11% | gd 2.1969 | es-evals 0.2M | 216s
step  1300 | es-min 2.0675 | es-mean 2.2727 | val 18.70% | ternary-only 18.70% | gd 2.0470 | es-evals 0.2M | 226s
step  1350 | es-min 1.9914 | es-mean 2.1947 | val 20.44% | ternary-only 20.44% | gd 1.9967 | es-evals 0.2M | 234s
step  1400 | es-min 1.9994 | es-mean 2.2045 | val 17.78% | ternary-only 17.78% | gd 2.1980 | es-evals 0.2M | 242s
step  1450 | es-min 2.1075 | es-mean 2.3520 | val 16.32% | ternary-only 16.32% | gd 2.1795 | es-evals 0.2M | 252s
step  1500 | es-min 2.1516 | es-mean 2.3895 | val 18.27% | ternary-only 18.27% | gd 2.1411 | es-evals 0.2M | 261s
step  1550 | es-min 2.2076 | es-mean 2.4750 | val 18.15% | ternary-only 18.15% | gd 2.1748 | es-evals 0.2M | 269s
step  1600 | es-min 2.2068 | es-mean 2.5524 | val 18.96% | ternary-only 18.96% | gd 2.2053 | es-evals 0.2M | 278s
step  1650 | es-min 2.0021 | es-mean 2.3321 | val 18.30% | ternary-only 18.30% | gd 1.9836 | es-evals 0.2M | 288s
step  1700 | es-min 2.0462 | es-mean 2.2973 | val 19.11% | ternary-only 19.11% | gd 2.0853 | es-evals 0.2M | 296s
step  1750 | es-min 2.0880 | es-mean 2.3526 | val 18.73% | ternary-only 18.73% | gd 2.0710 | es-evals 0.2M | 305s
step  1800 | es-min 2.1578 | es-mean 2.6685 | val 18.67% | ternary-only 18.67% | gd 2.0876 | es-evals 0.2M | 314s
step  1850 | es-min 2.0286 | es-mean 2.3320 | val 19.04% | ternary-only 19.04% | gd 2.1095 | es-evals 0.2M | 323s
step  1900 | es-min 2.0995 | es-mean 2.3933 | val 19.72% | ternary-only 19.72% | gd 2.0664 | es-evals 0.2M | 331s
