!python -u spike-m2rnn/hybrid/train.py --dataset cifar10 --fold-every 10 --gd-opt muon | tee -a cifar10_fold_10_muon.log

hybrid ViT | cifar10 | dim=64 depth=2 | ternary=True rank=4 | base(ternary) params=78k  residual(fp) params=8.5k (10.8% of base) | gd-opt=muon | dev=cuda
step     1 | es-min 2.1567 | es-mean 2.3974 | val 17.84% | ternary-only 13.57% | gd 2.1599 | es-evals 0.0M | 6s
step    50 | es-min 1.9389 | es-mean 2.1346 | val 23.93% | ternary-only 23.93% | gd 1.8480 | es-evals 0.1M | 36s
step   100 | es-min 1.8860 | es-mean 2.0890 | val 29.10% | ternary-only 29.10% | gd 1.8508 | es-evals 0.1M | 68s
step   150 | es-min 1.7010 | es-mean 1.9121 | val 27.83% | ternary-only 27.83% | gd 1.6873 | es-evals 0.2M | 99s
step   200 | es-min 1.9592 | es-mean 2.2884 | val 27.57% | ternary-only 27.57% | gd 1.9435 | es-evals 0.2M | 130s
step   250 | es-min 1.8207 | es-mean 2.0221 | val 27.57% | ternary-only 27.57% | gd 1.8161 | es-evals 0.3M | 161s
step   300 | es-min 1.9112 | es-mean 2.0712 | val 29.08% | ternary-only 29.08% | gd 1.8973 | es-evals 0.3M | 192s
step   350 | es-min 1.8778 | es-mean 2.1182 | val 28.39% | ternary-only 28.39% | gd 1.8489 | es-evals 0.4M | 223s
step   400 | es-min 1.8025 | es-mean 2.0423 | val 27.20% | ternary-only 27.20% | gd 1.8391 | es-evals 0.4M | 255s
step   450 | es-min 1.8883 | es-mean 2.0995 | val 26.72% | ternary-only 26.72% | gd 1.8517 | es-evals 0.5M | 286s
step   500 | es-min 1.7555 | es-mean 1.9124 | val 29.03% | ternary-only 29.03% | gd 1.7562 | es-evals 0.5M | 317s
step   550 | es-min 1.9189 | es-mean 2.1836 | val 26.19% | ternary-only 26.19% | gd 1.8433 | es-evals 0.6M | 348s
step   600 | es-min 1.9489 | es-mean 2.0965 | val 25.37% | ternary-only 25.37% | gd 1.8809 | es-evals 0.6M | 379s
step   650 | es-min 1.7861 | es-mean 1.9423 | val 29.80% | ternary-only 29.80% | gd 1.7206 | es-evals 0.7M | 410s
step   700 | es-min 1.9566 | es-mean 2.1004 | val 27.54% | ternary-only 27.54% | gd 1.9376 | es-evals 0.7M | 441s
step   750 | es-min 1.8183 | es-mean 2.0295 | val 29.44% | ternary-only 29.44% | gd 1.8125 | es-evals 0.8M | 472s
step   800 | es-min 1.8452 | es-mean 2.0028 | val 29.86% | ternary-only 29.86% | gd 1.7808 | es-evals 0.8M | 503s
step   850 | es-min 1.7553 | es-mean 2.0296 | val 28.11% | ternary-only 28.11% | gd 1.6718 | es-evals 0.9M | 535s
step   900 | es-min 1.9242 | es-mean 2.1286 | val 29.68% | ternary-only 29.68% | gd 1.8298 | es-evals 0.9M | 566s
step   950 | es-min 1.7843 | es-mean 2.0065 | val 26.02% | ternary-only 26.02% | gd 1.7184 | es-evals 1.0M | 597s
step  1000 | es-min 1.5331 | es-mean 1.7689 | val 31.27% | ternary-only 31.27% | gd 1.5689 | es-evals 1.0M | 628s
step  1050 | es-min 1.8448 | es-mean 1.9908 | val 29.35% | ternary-only 29.35% | gd 1.7870 | es-evals 1.1M | 660s
step  1100 | es-min 1.8559 | es-mean 2.0469 | val 30.85% | ternary-only 30.85% | gd 1.8844 | es-evals 1.1M | 691s
step  1150 | es-min 1.9578 | es-mean 2.1002 | val 24.86% | ternary-only 24.86% | gd 1.9048 | es-evals 1.2M | 722s
step  1200 | es-min 1.7736 | es-mean 1.9590 | val 24.83% | ternary-only 24.83% | gd 1.7173 | es-evals 1.2M | 753s
step  1250 | es-min 1.6891 | es-mean 1.9465 | val 32.14% | ternary-only 32.14% | gd 1.6864 | es-evals 1.3M | 785s
step  1300 | es-min 1.8785 | es-mean 2.0771 | val 30.22% | ternary-only 30.22% | gd 1.8955 | es-evals 1.3M | 816s
step  1350 | es-min 2.0061 | es-mean 2.2043 | val 24.00% | ternary-only 24.00% | gd 2.0786 | es-evals 1.4M | 848s
step  1400 | es-min 1.8342 | es-mean 2.0497 | val 22.84% | ternary-only 22.84% | gd 1.7700 | es-evals 1.4M | 878s
step  1450 | es-min 1.9062 | es-mean 2.0611 | val 29.94% | ternary-only 29.94% | gd 1.9540 | es-evals 1.5M | 910s
step  1500 | es-min 1.8614 | es-mean 2.1216 | val 28.38% | ternary-only 28.38% | gd 1.8223 | es-evals 1.5M | 941s
step  1550 | es-min 2.0051 | es-mean 2.1946 | val 21.60% | ternary-only 21.60% | gd 1.9651 | es-evals 1.6M | 972s
step  1600 | es-min 2.0148 | es-mean 2.2067 | val 27.90% | ternary-only 27.90% | gd 1.9654 | es-evals 1.6M | 1003s
step  1650 | es-min 1.9136 | es-mean 2.0689 | val 20.75% | ternary-only 20.75% | gd 1.8060 | es-evals 1.7M | 1034s
step  1700 | es-min 1.9566 | es-mean 2.1497 | val 22.02% | ternary-only 22.02% | gd 1.9738 | es-evals 1.7M | 1065s
step  1750 | es-min 1.9243 | es-mean 2.0830 | val 22.32% | ternary-only 22.32% | gd 1.8499 | es-evals 1.8M | 1096s
step  1800 | es-min 1.8918 | es-mean 2.1454 | val 24.52% | ternary-only 24.52% | gd 1.8080 | es-evals 1.8M | 1127s
step  1850 | es-min 1.8951 | es-mean 2.1068 | val 27.62% | ternary-only 27.62% | gd 1.8521 | es-evals 1.9M | 1158s
step  1900 | es-min 1.8112 | es-mean 2.0848 | val 29.55% | ternary-only 29.55% | gd 1.8161 | es-evals 1.9M | 1190s
step  1950 | es-min 1.9604 | es-mean 2.1925 | val 26.14% | ternary-only 26.14% | gd 1.9284 | es-evals 2.0M | 1221s
step  2000 | es-min 1.8381 | es-mean 2.0740 | val 25.22% | ternary-only 25.22% | gd 1.6998 | es-evals 2.0M | 1253s
